population_size,generations,mutation_rate,repeat,best_distance,exec_time
50,300,0.01,1,134599.06356831518,1.1840187999987393
50,300,0.01,2,134757.5629438417,1.1903826000016124
50,300,0.01,3,140623.57486311538,1.1859095999971032
50,300,0.05,1,135326.7817376586,1.257988599998498
50,300,0.05,2,140018.5996542298,1.219919300001493
50,300,0.05,3,137696.33576476743,1.2552433999990171
50,600,0.01,1,136600.85913084802,2.3860835999985284
50,600,0.01,2,137704.7702121486,2.456716400000005
50,600,0.01,3,139130.9932751633,2.480624399999215
50,600,0.05,1,135254.89083883175,2.3990745000010065
50,600,0.05,2,135789.89083173155,2.3901259999984177
50,600,0.05,3,134709.11393291858,2.376364300002024
100,300,0.01,1,131882.21550988944,2.4884896999974444
100,300,0.01,2,136650.70636300667,2.5978218000018387
100,300,0.01,3,133450.39875754836,2.481651399997645
100,300,0.05,1,137641.06312465674,2.6029157999983
100,300,0.05,2,134608.80404580818,2.778002299997752
100,300,0.05,3,133757.0601198798,3.447903399999632
100,600,0.01,1,134809.98856909672,5.06984999999986
100,600,0.01,2,134016.65204957058,5.468753600001946
100,600,0.01,3,133346.13785274405,5.166287999996712
100,600,0.05,1,138058.68471135956,5.15625590000127
100,600,0.05,2,131985.1290014001,5.470603300000221
100,600,0.05,3,137912.952572581,5.086171099999774
150,300,0.01,1,131602.7183536342,4.257143499999074
150,300,0.01,2,136881.76034185308,4.476388799997949
150,300,0.01,3,134506.16111270318,5.171516400001565
150,300,0.05,1,136545.82117303554,4.364193699999305
150,300,0.05,2,133803.13304181266,3.990754200000083
150,300,0.05,3,136480.47713268638,4.271018600000389
150,600,0.01,1,132984.83405709933,8.365567099997861
150,600,0.01,2,136486.75935617826,8.197932000002766
150,600,0.01,3,133267.52427707237,7.795991300001333
150,600,0.05,1,128849.72405744722,7.998549200001435
150,600,0.05,2,135267.56146477896,8.268519599998399
150,600,0.05,3,137047.30303172156,7.94387320000169
